	yes
bridges_flanders_smith	0.5891112912277434
brief	-0.5431566977756448
brief_question	4.0990573279203435
briefly	-0.6864903640242831
bring	-0.11098030785083166
british	-0.10996606819246728
broad	-0.2256274298717072
brooks	-0.17741866038533685
brought	-0.15147224796577147
brought_back	1.0206637088682888
brown	-4.68402623726581
budget	-1.8981864313407535
building	-1.0294284759183365
built	-0.1695207939589243
bulgaria	-1.9145124405015856
bureau	-0.3123537882247881
bush	-0.5153577090185494
bushels	-0.10816451527474337
business_is	1.2099462578392863
business_the	-0.49580339668105566
business_with	0.14037617837744487
but	-2.8864999093743706
but_a_moment	1.0866814251105923
but_i	-2.4787552751050166
but_it	-0.5724623389815869
but_mr_president	2.5416245884101314
but_not	-0.9177339425373612
but_not_over	-0.7501685283121996
but_the	-0.8566676891296688
butler	-1.6755492385001534
by	-2.45889829453617
by_a	-0.12976995067574174
by_any_means	1.4224531062008179
by_mr	-2.995595464311954
by_request	1.1884420388231072
by_senator	-1.718009875225494
by_the	-1.3175442999342892
by_the_chief	0.5748036840256033
by_the_committee	-0.20711437396119783
by_the_gentleman	-0.9551804359848193
by_the_government	2.736989412128361
by_the_senate	-0.9611387310918219
by_the_senator	-2.756865805335469
by_title	1.7043404133984095
by_unanimous	1.5898204814688575
by_unanimous_consent	1.5949870774705919
by_what_authority	0.11626536959075132
by_which	0.5147145758868313
by_which_the	0.4450621697859499
byrd	-0.7189173525125279
c	-4.338733152823654
ca	-1.539781874133129
calendar	1.8408468167425944
calendar_i	-0.21968481077843152
calendar_no	-2.712298666534939
calif	-0.1269800165931284
california	-0.7675759381586877
california_mr	-2.4988512214202054
call	-0.17293772169530008
call_of	0.8784550639030521
call_of_the	1.46352425378454
call_the	0.13973161376718027
call_the_roll	0.29519899876296757
call_up	2.314879333741961
called_and	-0.007240729864684471
called_the	-2.834296835333872
came	-0.9199459672274134
cameron	-0.9759413575381056
camp	-1.1090243711206171
can	-1.6332466649900959
can_not	-0.0454423132909502
can_not_do	0.2641885577109891
canada	-1.9073055326124648
cancer	-1.0521726843595531
candidate	-0.01650161691444215
cane	-0.06031240686614682
capacity	-0.28696405633631905
capital	-1.338853200391049
care	-1.004383438888417
carol	-0.2747593071452841
carolina	-0.13887688056942127
carolina_mr	-2.119692693734072
carolina_the	-2.992348858497696
carolina_the_senator	-0.5162071129734229
